,image_id,annotation
0,n09468604_12427.JPEG,"valley, vale"
1,n01494475_3853.JPEG,"hammerhead, hammerhead shark"
2,rep_COCO_train2014_000000312003.jpg,"bicycle, parking meter, street sign, bench, motorcycle, boat"
3,COCO_train2014_000000441891.jpg,hat
4,COCO_train2014_000000408922.jpg,airplane
5,COCO_train2014_000000355458.jpg,"bicycle, suitcase"
6,runway3.jpg,runway
7,COCO_train2014_000000426911.jpg,"mouse, clock, car, blender, laptop, oven, mirror, couch"
8,n03481172_16310.JPEG,hammer
9,COCO_train2014_000000132297.jpg,giraffe
10,rep_COCO_train2014_000000455657.jpg,"bed, fork, scissors"
11,n04591157_1330.JPEG,Windsor tie
12,COCO_train2014_000000374288.jpg,"fork, carrot, window, plate, banana, hot dog"
13,winebarrel1.jpg,winebarrel
14,COCO_train2014_000000285450.jpg,refrigerator
15,n02264363_9150.JPEG,"lacewing, lacewing fly"
16,n03124170_14337.JPEG,"cowboy hat, ten-gallon hat"
17,snowmountains4.jpg,snowmountains
18,COCO_train2014_000000455799.jpg,"bicycle, donut, window"
19,chickenCoop8.jpg,chickenCoop
20,COCO_train2014_000000061288.jpg,"tie, microwave, bicycle, motorcycle"
21,n02111129_1827.JPEG,Leonberg
22,n04192698_5041.JPEG,"shield, buckler"
23,harbor8.jpg,harbor
24,n01983481_4719.JPEG,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
25,COCO_train2014_000000485595.jpg,"bicycle, couch, suitcase, bird"
26,COCO_train2014_000000458178.jpg,"cell phone, mirror, laptop"
27,n04344873_4914.JPEG,"studio couch, day bed"
28,firestation4.jpg,firestation
29,artStudio3.jpg,artStudio
30,n02123597_11635.JPEG,"Siamese cat, Siamese"
31,COCO_train2014_000000189765.jpg,"bicycle, skis"
32,COCO_train2014_000000146725.jpg,bus
33,n04550184_26611.JPEG,"wardrobe, closet, press"
34,COCO_train2014_000000092089.jpg,"bicycle, pizza"
35,n03876231_17739.JPEG,paintbrush
36,n03594734_18268.JPEG,"jean, blue jean, denim"
37,n01677366_11319.JPEG,"common iguana, iguana, Iguana iguana"
38,COCO_train2014_000000346310.jpg,giraffe
39,n03729826_3047.JPEG,matchstick
40,rep_COCO_train2014_000000242631.jpg,"bicycle, skis"
41,COCO_train2014_000000485614.jpg,"bird, motorcycle"
42,n04346328_21908.JPEG,"stupa, tope"
43,HorseRaceTrack2.jpg,HorseRaceTrack
44,n04127249_1060.JPEG,safety pin
45,COCO_train2014_000000166504.jpg,"bottle, bicycle"
46,n02667093_944.JPEG,abaya
47,homeoffice.jpg,homeoffice
48,COCO_train2014_000000425135.jpg,refrigerator
49,n03866082_8143.JPEG,overskirt
50,COCO_train2014_000000224869.jpg,"bicycle, airplane, motorcycle, vase, horse"
51,n04009552_16559.JPEG,projector
52,n03485794_11620.JPEG,"handkerchief, hankie, hanky, hankey"
53,readingroom1.jpg,readingroom
54,COCO_train2014_000000097021.jpg,"umbrella, bed, car"
55,COCO_train2014_000000021826.jpg,bicycle
56,n03793489_4253.JPEG,"mouse, computer mouse"
57,COCO_train2014_000000207805.jpg,"bicycle, traffic light"
58,frontLawn4.jpg,frontLawn
59,n02085620_288.JPEG,Chihuahua
60,COCO_train2014_000000460099.jpg,vase
61,cabana2.jpg,cabana
62,n01697457_8605.JPEG,"African crocodile, Nile crocodile, Crocodylus niloticus"
63,movie_theater4.jpg,movie_theater
64,COCO_train2014_000000174504.jpg,"bicycle, sports ball"
65,n07715103_12793.JPEG,cauliflower
66,COCO_train2014_000000112734.jpg,bear
67,n03133878_4774.JPEG,Crock Pot
68,rep_COCO_train2014_000000300072.jpg,"banana, window, broccoli"
69,COCO_train2014_000000221441.jpg,"tie, bicycle, car, window, shoe, couch"
70,n07695742_6577.JPEG,pretzel
71,lightingstore3.jpg,lightingstore
72,COCO_train2014_000000558822.jpg,cow
73,COCO_train2014_000000420713.jpg,"sandwich, window, hot dog, scissors, apple, couch"
74,n01687978_6955.JPEG,agama
75,playroom4.jpg,playroom
76,hottub2.jpg,hottub
77,rep_COCO_train2014_000000428691.jpg,"bicycle, traffic light"
78,recordingstudio3.jpg,recordingstudio
79,COCO_train2014_000000526035.jpg,sheep
80,n02017213_6605.JPEG,"European gallinule, Porphyrio porphyrio"
81,n04356056_5603.JPEG,"sunglasses, dark glasses, shades"
82,n03196217_993.JPEG,digital clock
83,COCO_train2014_000000477852.jpg,"airplane, bicycle"
84,COCO_train2014_000000190566.jpg,"bicycle, snowboard"
85,n04049303_6067.JPEG,rain barrel
86,COCO_train2014_000000454565.jpg,"bicycle, bus, boat, motorcycle"
87,n03379051_4635.JPEG,football helmet
88,n03832673_21438.JPEG,"notebook, notebook computer"
89,n02870880_247.JPEG,bookcase
90,COCO_train2014_000000003521.jpg,"hair drier, bicycle"
91,n04026417_26908.JPEG,purse
92,COCO_train2014_000000481157.jpg,"cell phone, bicycle, laptop, remote"
93,COCO_train2014_000000325079.jpg,"shoe, microwave, bicycle, umbrella"
94,COCO_train2014_000000304440.jpg,"knife, sandwich, window, plate, bowl, banana, spoon"
95,n03452741_16107.JPEG,"grand piano, grand"
96,COCO_train2014_000000379713.jpg,"bicycle, skis"
97,n01693334_1910.JPEG,"green lizard, Lacerta viridis"
98,treehouse2.jpg,treehouse
99,COCO_train2014_000000060117.jpg,cow
100,COCO_train2014_000000185262.jpg,"bicycle, clock, window, potted plant, shoe, hair brush, couch"
101,n03372029_44960.JPEG,"flute, transverse flute"
102,n01692333_12353.JPEG,"Gila monster, Heloderma suspectum"
103,tollbooth5.jpg,tollbooth
104,foodcourt6.jpg,foodcourt
105,elevatorOutside4.jpg,elevatorOutside
106,n03792782_5959.JPEG,"mountain bike, all-terrain bike, off-roader"
107,rep_COCO_train2014_000000191686.jpg,zebra
108,COCO_train2014_000000113449.jpg,"bicycle, tennis racket"
109,COCO_train2014_000000140590.jpg,hat
110,COCO_train2014_000000086811.jpg,cat
111,n01682714_18221.JPEG,"American chameleon, anole, Anolis carolinensis"
112,COCO_train2014_000000154556.jpg,bear
113,n03950228_19944.JPEG,"pitcher, ewer"
114,COCO_train2014_000000164502.jpg,giraffe
115,n04252225_3764.JPEG,"snowplow, snowplough"
116,n04458633_11652.JPEG,totem pole
117,n09193705_2043.JPEG,alp
118,COCO_train2014_000000389207.jpg,"tie, bicycle, plate, microwave, vase"
119,footballstadium2.jpg,footballstadium
120,n03868863_3487.JPEG,oxygen mask
121,COCO_train2014_000000404997.jpg,"fork, clock, window, teddy bear"
122,sushibar8.jpg,sushibar
123,n03781244_9830.JPEG,monastery
124,n02879718_9103.JPEG,bow
125,COCO_train2014_000000207833.jpg,"couch, knife, cup, fork, window, bed, banana, bowl, scissors, spoon"
126,metroInside4.jpg,metroInside
127,COCO_train2014_000000553150.jpg,bus
128,bedroom4.jpeg,bedroom
129,COCO_train2014_000000516634.jpg,hat
130,COCO_train2014_000000173538.jpg,cat
131,rep_n04040759_5145.JPEG,rep_n04040759_
132,rep_n02113978_9805.JPEG,rep_n02113978_
133,COCO_train2014_000000523236.jpg,bus
134,poolhall1.jpg,poolhall
135,n01843065_640.JPEG,jacamar
136,n02894605_50677.JPEG,"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
137,n04447861_6714.JPEG,toilet seat
138,COCO_train2014_000000307475.jpg,"baseball glove, bicycle, kite, skateboard"
139,church8.jpg,church
140,COCO_train2014_000000036341.jpg,"baseball glove, bicycle, motorcycle"
141,COCO_train2014_000000257983.jpg,hat
142,n02909870_15595.JPEG,"bucket, pail"
